ERCC2,Cancer Gene Census
ERCC3,Cancer Gene Census
ERCC4,Cancer Gene Census
ERCC5,Cancer Gene Census
ERG,Cancer Gene Census
ETV1,Cancer Gene Census
ETV4,Cancer Gene Census
ETV5,Cancer Gene Census
ETV6,Cancer Gene Census
EWSR1,Cancer Gene Census
EXT1,Cancer Gene Census
EXT2,Cancer Gene Census
EZR,Cancer Gene Census
ACSL6,Cancer Gene Census
NUTM2A,Cancer Gene Census
NUTM2B,Cancer Gene Census
FAM46C,Cancer Gene Census
FANCA,Cancer Gene Census
FANCC,Cancer Gene Census
FANCD2,Cancer Gene Census
FANCE,Cancer Gene Census
FANCF,Cancer Gene Census
FANCG,Cancer Gene Census
FBXO11,Cancer Gene Census
FCGR2B,Cancer Gene Census
FEV,Cancer Gene Census
FGFR1OP,Cancer Gene Census
FH,Cancer Gene Census
FHIT,Cancer Gene Census
FIP1L1,Cancer Gene Census
FLI1,Cancer Gene Census
C15orf65,Cancer Gene Census
FNBP1,Cancer Gene Census
FOXA1,Cancer Gene Census
FOXO1,Cancer Gene Census
FOXO3,Cancer Gene Census
FOXP1,Cancer Gene Census
FSTL3,Cancer Gene Census
FUS,Cancer Gene Census
KDSR,Cancer Gene Census
GAS7,Cancer Gene Census
GMPS,Cancer Gene Census
GOLGA5,Cancer Gene Census
GOPC,Cancer Gene Census
GPC3,Cancer Gene Census
GPHN,Cancer Gene Census
ARHGAP26,Cancer Gene Census
H3F3B,Cancer Gene Census
SPECC1,Cancer Gene Census
CLP1,Cancer Gene Census
HERPUD1,Cancer Gene Census
HEY1,Cancer Gene Census
HIP1,Cancer Gene Census
HIST1H4I,Cancer Gene Census
HLF,Cancer Gene Census
MNX1,Cancer Gene Census
HMGA1,Cancer Gene Census
HMGA2,Cancer Gene Census
HNRNPA2B1,Cancer Gene Census
HOOK3,Cancer Gene Census
HOXA11,Cancer Gene Census
HOXA13,Cancer Gene Census
HOXA9,Cancer Gene Census
HOXC11,Cancer Gene Census
HOXC13,Cancer Gene Census
HOXD11,Cancer Gene Census
HOXD13,Cancer Gene Census
HSP90AA1,Cancer Gene Census
IGH,Cancer Gene Census
IGK,Cancer Gene Census
IGL,Cancer Gene Census
IL2,Cancer Gene Census
IL21R,Cancer Gene Census
IL6ST,Cancer Gene Census
IL7R,Cancer Gene Census
IRF4,Cancer Gene Census
FCRL4,Cancer Gene Census
ITK,Cancer Gene Census
JAZF1,Cancer Gene Census
JUN,Cancer Gene Census
KCNJ5,Cancer Gene Census
KDM5A,Cancer Gene Census
KIAA1549,Cancer Gene Census
KIF5B,Cancer Gene Census
KLK2,Cancer Gene Census
KTN1,Cancer Gene Census
AFF3,Cancer Gene Census
LASP1,Cancer Gene Census
LCK,Cancer Gene Census
LCP1,Cancer Gene Census
TET1,Cancer Gene Census
LHFP,Cancer Gene Census
LIFR,Cancer Gene Census
LMO2,Cancer Gene Census
LPP,Cancer Gene Census
LRIG3,Cancer Gene Census
LYL1,Cancer Gene Census
MAF,Cancer Gene Census
MAFB,Cancer Gene Census
MALAT1,Cancer Gene Census
MALT1,Cancer Gene Census
MAML2,Cancer Gene Census
MAP2K2,Cancer Gene Census
MAX,Cancer Gene Census
MDS2,Cancer Gene Census
CRTC1,Cancer Gene Census
MITF,Cancer Gene Census
MKL1,Cancer Gene Census
MLF1,Cancer Gene Census
MLLT1,Cancer Gene Census
MLLT10,Cancer Gene Census
AFF1,Cancer Gene Census
MLLT3,Cancer Gene Census
MLLT4,Cancer Gene Census
MLLT6,Cancer Gene Census
FOXO4,Cancer Gene Census
MN1,Cancer Gene Census
SEPT9,Cancer Gene Census
MSI2,Cancer Gene Census
MSN,Cancer Gene Census
MTCP1,Cancer Gene Census
MUC1,Cancer Gene Census
MUTYH,Cancer Gene Census
MYB,Cancer Gene Census
MYH11,Cancer Gene Census
MYH9,Cancer Gene Census
NACA,Cancer Gene Census
NBN,Cancer Gene Census
NCOA1,Cancer Gene Census
NCOA2,Cancer Gene Census
NCOA4,Cancer Gene Census
NDRG1,Cancer Gene Census
NFIB,Cancer Gene Census
NFKB2,Cancer Gene Census
NIN,Cancer Gene Census
NONO,Cancer Gene Census
NR4A3,Cancer Gene Census
NSD1,Cancer Gene Census
NT5C2,Cancer Gene Census
NTRK1,Cancer Gene Census
NTRK3,Cancer Gene Census
NUMA1,Cancer Gene Census
NUP214,Cancer Gene Census
NUP98,Cancer Gene Census
OLIG2,Cancer Gene Census
OMD,Cancer Gene Census
P2RY8,Cancer Gene Census
PAFAH1B2,Cancer Gene Census
PAX3,Cancer Gene Census
PAX7,Cancer Gene Census
PBX1,Cancer Gene Census
PCM1,Cancer Gene Census
PCSK7,Cancer Gene Census
PDE4DIP,Cancer Gene Census
PDGFB,Cancer Gene Census
PER1,Cancer Gene Census
PHOX2B,Cancer Gene Census
PICALM,Cancer Gene Census
PIM1,Cancer Gene Census
PLAG1,Cancer Gene Census
PML,Cancer Gene Census
PMS1,Cancer Gene Census
PRRX1,Cancer Gene Census
SEPT5,Cancer Gene Census
POT1,Cancer Gene Census
POU2AF1,Cancer Gene Census
POU5F1,Cancer Gene Census
PPARG,Cancer Gene Census
PRCC,Cancer Gene Census
PRDM16,Cancer Gene Census
PRF1,Cancer Gene Census
PRKAR1A,Cancer Gene Census
PSIP1,Cancer Gene Census
PTPRC,Cancer Gene Census
RABEP1,Cancer Gene Census
RAC1,Cancer Gene Census
RAD21,Cancer Gene Census
RAD51B,Cancer Gene Census
RAF1,Cancer Gene Census
RALGDS,Cancer Gene Census
RANBP17,Cancer Gene Census
RAP1GDS1,Cancer Gene Census
RARA,Cancer Gene Census
RBM15,Cancer Gene Census
RECQL4,Cancer Gene Census
REL,Cancer Gene Census
RPL10,Cancer Gene Census
RPL22,Cancer Gene Census
RPL5,Cancer Gene Census
RPN1,Cancer Gene Census
SNX29,Cancer Gene Census
KAT6A,Cancer Gene Census
SBDS,Cancer Gene Census
SDC4,Cancer Gene Census
SDHAF2,Cancer Gene Census
SDHB,Cancer Gene Census
SDHC,Cancer Gene Census
SDHD,Cancer Gene Census
SEPT6,Cancer Gene Census
SET,Cancer Gene Census
SFPQ,Cancer Gene Census
SRSF3,Cancer Gene Census
SH2B3,Cancer Gene Census
SH3GL1,Cancer Gene Census
STIL,Cancer Gene Census
SLC34A2,Cancer Gene Census
SLC45A3,Cancer Gene Census
SMARCE1,Cancer Gene Census
SOX2,Cancer Gene Census
SRGAP3,Cancer Gene Census
SS18,Cancer Gene Census
SS18L1,Cancer Gene Census
SSX1,Cancer Gene Census
